Area_unit_2013_code,Area_unit_2013_label,Victimisations_calendar_year_2015,Population_mid_point_2015,Rate_per_10000_population,Rate_ratio_NZ_average_rate,Urban_area_2013_code,Urban_area_2013_label,Urban_area_type,Territorial_authority_area_2013_code,Territorial_authority_area_2013_label,Region_2013_code,Region_2013_label
545621,Poraiti,1,2130,5,0.1,12,Napier Zone,Main ,31,Napier City,6,Hawke's Bay 
581825,Mapua,1,2150,5,0.1,306,Mapua,Minor ,51,Tasman District,16,Tasman 
581823,Wakefield,1,2210,5,0.1,272,Wakefield,Minor ,51,Tasman District,16,Tasman 
513011,Henderson West,1,2360,4,0.1,3,Western Auckland Zone,Main ,76,Auckland,2,Auckland 
577500,Seatoun,1,2390,4,0.1,20,Wellington Zone,Main ,47,Wellington City,9,Wellington 
513432,Hobsonville South,1,2400,4,0.1,3,Western Auckland Zone,Main ,76,Auckland,2,Auckland 
588900,Burnside,1,2500,4,0.1,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
534603,Springdale,1,2560,4,0.1,502,Rural (Incl.some Off Shore Islands),Rural,15,Matamata-Piako District,3,Waikato 
538811,Hamurana,1,2580,4,0.1,502,Rural (Incl.some Off Shore Islands),Rural,24,Rotorua District,4,Bay of Plenty 
586305,Kingsbury,1,2620,4,0.1,116,Rangiora,Secondary ,59,Waimakariri District,13,Canterbury 
536503,Te Puna,1,2660,4,0.1,9,Tauranga,Main ,22,Western Bay of Plenty District,4,Bay of Plenty 
609200,Arrowtown,1,2710,4,0.1,294,Arrowtown,Minor ,70,Queenstown-Lakes District,14,Otago 
529600,Chartwell,1,2800,4,0.1,6,Hamilton Zone,Main ,16,Hamilton City,3,Waikato 
525520,Opaheke,1,2800,4,0.1,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
534500,Tahuroa,1,2820,4,0.1,502,Rural (Incl.some Off Shore Islands),Rural,15,Matamata-Piako District,3,Waikato 
564530,Pinehaven,1,2840,4,0.1,17,Upper Hutt Zone,Main ,45,Upper Hutt City,9,Wellington 
545821,Sherenden-Puketapu,1,2840,4,0.1,502,Rural (Incl.some Off Shore Islands),Rural,30,Hastings District,6,Hawke's Bay 
587848,Prebbleton,1,2850,4,0.1,22,Christchurch,Main ,62,Selwyn District,13,Canterbury 
575200,Northland,1,2900,3,0.1,20,Wellington Zone,Main ,47,Wellington City,9,Wellington 
523116,Mission Heights,1,2910,3,0.1,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
517202,Stonefields,1,2930,3,0.1,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
586307,Rangiora West,1,3070,3,0.1,116,Rangiora,Secondary ,59,Waimakariri District,13,Canterbury 
515201,Herne Bay,1,3090,3,0.1,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
573513,Churton Park North,1,3190,3,0.1,20,Wellington Zone,Main ,47,Wellington City,9,Wellington 
523110,Kilkenny,1,3240,3,0.1,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
574402,Ngaio South,1,3290,3,0.1,20,Wellington Zone,Main ,47,Wellington City,9,Wellington 
507710,Castor Bay,1,3320,3,0.1,2,Northern Auckland Zone,Main ,76,Auckland,2,Auckland 
589601,Hawthornden,1,3430,3,0.1,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
506902,Glamorgan,1,3570,3,0.1,2,Northern Auckland Zone,Main ,76,Auckland,2,Auckland 
565602,Endeavour,1,4000,2,0.0,19,Porirua Zone,Main ,44,Porirua City,9,Wellington 
509300,Narrow Neck,1,4020,2,0.0,2,Northern Auckland Zone,Main ,76,Auckland,2,Auckland 
591102,Cashmere East,1,4030,2,0.0,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
606100,Mosgiel East,1,4200,2,0.0,23,Dunedin,Main ,71,Dunedin City,14,Otago 
508804,Pinehill,1,4530,2,0.0,2,Northern Auckland Zone,Main ,76,Auckland,2,Auckland 
507000,Waiake,1,4650,2,0.0,2,Northern Auckland Zone,Main ,76,Auckland,2,Auckland 
570300,Eastbourne,1,4950,2,0.0,18,Lower Hutt Zone,Main ,46,Lower Hutt City,9,Wellington 
507300,Murrays Bay,1,5150,2,0.0,2,Northern Auckland Zone,Main ,76,Auckland,2,Auckland 
516302,Meadowbank South,1,5560,2,0.0,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
