Area_unit_2013_code,Area_unit_2013_label,Victimisations_calendar_year_2015,Population_mid_point_2015,Rate_per_10000_population,Rate_ratio_NZ_average_rate,Urban_area_2013_code,Urban_area_2013_label,Urban_area_type,Territorial_authority_area_2013_code,Territorial_authority_area_2013_label,Region_2013_code,Region_2013_label
578800,Masterton East,33,3700,89,1.7,109,Masterton,Secondary ,48,Masterton District,9,Wellington 
521802,Fairburn,33,3810,87,1.7,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
594700,Addington,33,4040,82,1.6,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
524811,Weymouth West,33,4630,71,1.4,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
548300,Akina,33,4720,70,1.3,13,Hastings Zone,Main ,30,Hastings District,6,Hawke's Bay 
515002,Point Chevalier East,33,4880,68,1.3,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
576400,Newtown East,33,5370,61,1.2,20,Wellington Zone,Main ,47,Wellington City,9,Wellington 
528200,Ngaruawahia,33,5810,57,1.1,6,Hamilton Zone,Main ,13,Waikato District,3,Waikato 
518803,Akarana,33,6360,52,1.0,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
502800,Regent,32,1750,183,3.5,1,Whangarei,Main ,2,Whangarei District,1,Northland 
602900,Fernhill,32,1860,172,3.3,23,Dunedin,Main ,71,Dunedin City,14,Otago 
590701,Mona Vale,32,2510,127,2.4,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
556200,Gonville South,32,3060,105,2.0,15,Wanganui,Main ,37,Wanganui District,8,Manawatu-Wanganui 
538102,Tauranga South,32,4530,71,1.4,9,Tauranga,Main ,23,Tauranga City,4,Bay of Plenty 
538502,Te Puke East,32,4740,68,1.3,235,Te Puke Community,Minor ,22,Western Bay of Plenty District,4,Bay of Plenty 
528501,Nawton,32,4960,65,1.2,6,Hamilton Zone,Main ,16,Hamilton City,3,Waikato 
539400,Mangakakahi,31,2570,121,2.3,10,Rotorua,Main ,24,Rotorua District,4,Bay of Plenty 
551700,Westown,31,3570,87,1.7,14,New Plymouth,Main ,33,New Plymouth District,7,Taranaki 
593100,Aranui,31,4240,73,1.4,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
511700,Kelston Central,31,5000,62,1.2,3,Western Auckland Zone,Main ,76,Auckland,2,Auckland 
523721,Clover Park,31,5030,62,1.2,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
523502,Otara East,31,5150,60,1.2,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
513220,Sturges North,31,7830,40,0.8,3,Western Auckland Zone,Main ,76,Auckland,2,Auckland 
544400,Gisborne Airport,30,2890,104,2.0,11,Gisborne,Main ,28,Gisborne District,5,Gisborne 
539600,Fordlands,29,1840,158,3.0,10,Rotorua,Main ,24,Rotorua District,4,Bay of Plenty 
537700,Yatton Park,29,2640,110,2.1,9,Tauranga,Main ,23,Tauranga City,4,Bay of Plenty 
590100,Upper Riccarton,29,3300,88,1.7,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
594010,Woolston West,29,3590,81,1.5,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
595700,Rawhiti,29,3700,78,1.5,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
610800,Gladstone-Avenal,29,3800,76,1.5,24,Invercargill,Main ,75,Invercargill City,15,Southland 
594200,Ensors,29,3850,75,1.4,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
536516,Palm Beach,29,3870,75,1.4,9,Tauranga,Main ,23,Tauranga City,4,Bay of Plenty 
528800,Maeroa,29,4020,72,1.4,6,Hamilton Zone,Main ,16,Hamilton City,3,Waikato 
595300,Hillmorton,29,4750,61,1.2,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
534400,Waihi,29,4980,58,1.1,229,Waihi,Minor ,12,Hauraki District,3,Waikato 
517100,Point England,29,5050,57,1.1,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
515902,Parnell West,29,5460,53,1.0,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
562500,Roslyn,29,5910,49,0.9,16,Palmerston North,Main ,40,Palmerston North City,8,Manawatu-Wanganui 
530500,University,29,6270,46,0.9,6,Hamilton Zone,Main ,16,Hamilton City,3,Waikato 
503500,Raumanga East,28,1880,149,2.8,1,Whangarei,Main ,2,Whangarei District,1,Northland 
520602,Panmure Basin,28,2970,94,1.8,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
591900,Papanui,28,3820,73,1.4,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
529402,Chedworth,28,3900,72,1.4,6,Hamilton Zone,Main ,16,Hamilton City,3,Waikato 
542440,Allandale-Mokorua,28,4020,70,1.3,104,Whakatane,Secondary ,25,Whakatane District,4,Bay of Plenty 
549500,Waipukurau,28,4060,69,1.3,244,Waipukurau,Minor ,32,Central Hawke's Bay District,6,Hawke's Bay 
526200,Tuakau,28,4630,60,1.2,101,Pukekohe,Secondary ,13,Waikato District,3,Waikato 
522400,Puhinui North,28,4840,58,1.1,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
529000,Swarbrick,28,5100,55,1.0,6,Hamilton Zone,Main ,16,Hamilton City,3,Waikato 
562310,Takaro,28,5470,51,1.0,16,Palmerston North,Main ,40,Palmerston North City,8,Manawatu-Wanganui 
516500,Mission Bay,28,5840,48,0.9,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
587701,Sockburn,28,6760,41,0.8,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
501100,Paihia,27,1900,142,2.7,205,Paihia,Minor ,1,Far North District,1,Northland 
590300,Middleton,27,1930,140,2.7,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
576301,Newtown West,27,3480,78,1.5,20,Wellington Zone,Main ,47,Wellington City,9,Wellington 
608500,Alexandra,27,5190,52,1.0,291,Alexandra,Minor ,69,Central Otago District,14,Otago 
536821,Omanu,27,5540,49,0.9,9,Tauranga,Main ,23,Tauranga City,4,Bay of Plenty 
573300,Mt Cook-Wallace Street,27,5650,48,0.9,20,Wellington Zone,Main ,47,Wellington City,9,Wellington 
514402,Glenavon,27,7040,38,0.7,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
523712,Donegal Park,27,8240,33,0.6,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
520301,Mt Wellington Domain,26,1740,149,2.9,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
611700,Appleby-Kew,26,1960,133,2.5,24,Invercargill,Main ,75,Invercargill City,15,Southland 
532902,Taumarunui Central,26,2310,113,2.2,220,Taumarunui,Minor ,36,Ruapehu District,8,Manawatu-Wanganui 
531004,Te Awamutu South,26,3140,83,1.6,8,Te Awamutu Zone,Main ,17,Waipa District,3,Waikato 
520303,Mt Wellington North,26,3380,77,1.5,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
583900,Isel Park,26,3440,76,1.4,21,Nelson,Main ,52,Nelson City,17,Nelson 
535600,Putaruru,26,3970,65,1.3,233,Putaruru,Minor ,19,South Waikato District,3,Waikato 
554010,Hawera North,26,4010,65,1.2,105,Hawera,Secondary ,35,South Taranaki District,7,Taranaki 
607400,Balclutha,26,4030,65,1.2,290,Balclutha,Minor ,72,Clutha District,14,Otago 
514301,Grafton West,26,4190,62,1.2,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
548000,Mayfair,26,4470,58,1.1,13,Hastings Zone,Main ,30,Hastings District,6,Hawke's Bay 
533000,Whitianga,26,4650,56,1.1,221,Whitianga,Minor ,11,Thames-Coromandel District,3,Waikato 
530300,Naylor,26,4800,54,1.0,6,Hamilton Zone,Main ,16,Hamilton City,3,Waikato 
563000,West End,26,4980,52,1.0,16,Palmerston North,Main ,40,Palmerston North City,8,Manawatu-Wanganui 
517702,Sandringham West,26,5390,48,0.9,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
537301,Brookfield,26,5430,48,0.9,9,Tauranga,Main ,23,Tauranga City,4,Bay of Plenty 
539900,Hillcrest,25,1630,153,2.9,10,Rotorua,Main ,24,Rotorua District,4,Bay of Plenty 
525510,Papakura South,25,1850,135,2.6,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
540520,Glenholme West,25,2310,108,2.1,10,Rotorua,Main ,24,Rotorua District,4,Bay of Plenty 
583300,Grampians,25,2490,100,1.9,21,Nelson,Main ,52,Nelson City,17,Nelson 
595800,New Brighton,25,2610,96,1.8,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
561700,Foxton,25,2750,91,1.7,260,Foxton Community,Minor ,42,Horowhenua District,8,Manawatu-Wanganui 
593900,Bromley,25,3200,78,1.5,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
553101,Stratford West,25,3340,75,1.4,249,Stratford,Minor ,34,Stratford District,7,Taranaki 
568303,Naenae South,25,3580,70,1.3,18,Lower Hutt Zone,Main ,46,Lower Hutt City,9,Wellington 
523109,Dannemora,25,4240,59,1.1,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
608600,Cromwell,25,4510,55,1.1,292,Cromwell,Minor ,69,Central Otago District,14,Otago 
584201,Richmond East,25,6330,39,0.8,21,Nelson,Main ,51,Tasman District,16,Tasman 
564520,Trentham South,24,1150,209,4.0,17,Upper Hutt Zone,Main ,45,Upper Hutt City,9,Wellington 
544802,Tamarau,24,2560,94,1.8,11,Gisborne,Main ,28,Gisborne District,5,Gisborne 
531003,Te Awamutu East,24,3070,78,1.5,8,Te Awamutu Zone,Main ,17,Waipa District,3,Waikato 
548612,Lochain,24,3080,78,1.5,13,Hastings Zone,Main ,30,Hastings District,6,Hawke's Bay 
521801,Otahuhu North,24,3110,77,1.5,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
562710,Highbury,24,3360,71,1.4,16,Palmerston North,Main ,40,Palmerston North City,8,Manawatu-Wanganui 
548611,Kingsley-Chatham,24,3380,71,1.4,13,Hastings Zone,Main ,30,Hastings District,6,Hawke's Bay 
560720,Feilding West,24,3960,61,1.2,106,Feilding,Secondary ,39,Manawatu District,8,Manawatu-Wanganui 
504000,Sherwood Rise,24,4170,58,1.1,1,Whangarei,Main ,2,Whangarei District,1,Northland 
592600,Edgeware,24,4300,56,1.1,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
532000,Te Kuiti,24,4560,53,1.0,219,Te Kuiti,Minor ,20,Waitomo District,3,Waikato 
529200,Melville,24,5140,47,0.9,6,Hamilton Zone,Main ,16,Hamilton City,3,Waikato 
516400,Orakei North,24,5910,41,0.8,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
524303,Kohuora,24,6630,36,0.7,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
505805,Orewa,24,9170,26,0.5,2,Northern Auckland Zone,Main ,76,Auckland,2,Auckland 
523112,Highbrook,23,40,5750,109.9,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
568301,Avalon East,23,2410,95,1.8,18,Lower Hutt Zone,Main ,46,Lower Hutt City,9,Wellington 
601030,Oamaru Central,23,2610,88,1.7,114,Oamaru,Secondary ,68,Waitaki District,14,Otago 
509000,Paremoremo East,23,2880,80,1.5,2,Northern Auckland Zone,Main ,76,Auckland,2,Auckland 
581100,Picton,23,2920,79,1.5,268,Picton,Minor ,53,Marlborough District,18,Marlborough 
568501,Epuni West,23,3080,75,1.4,18,Lower Hutt Zone,Main ,46,Lower Hutt City,9,Wellington 
568202,Taita South,23,3100,74,1.4,18,Lower Hutt Zone,Main ,46,Lower Hutt City,9,Wellington 
567400,Elderslea,23,3360,68,1.3,17,Upper Hutt Zone,Main ,45,Upper Hutt City,9,Wellington 
594020,Ferrymead,23,3400,68,1.3,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
528700,Beerescourt,23,3470,66,1.3,6,Hamilton Zone,Main ,16,Hamilton City,3,Waikato 
517701,Sandringham North,23,3530,65,1.2,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
564210,Levin North,23,3640,63,1.2,107,Levin,Secondary ,42,Horowhenua District,8,Manawatu-Wanganui 
538741,Owhata West,23,3690,62,1.2,10,Rotorua,Main ,24,Rotorua District,4,Bay of Plenty 
547600,Mahora,23,3710,62,1.2,13,Hastings Zone,Main ,30,Hastings District,6,Hawke's Bay 
535502,Matamata South,23,4510,51,1.0,232,Matamata,Minor ,15,Matamata-Piako District,3,Waikato 
559500,Marton,23,4780,48,0.9,259,Marton,Minor ,38,Rangitikei District,8,Manawatu-Wanganui 
514801,Rosebank,23,5190,44,0.8,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
508310,Glenfield Central,23,5210,44,0.8,2,Northern Auckland Zone,Main ,76,Auckland,2,Auckland 
523722,Redoubt North,23,5460,42,0.8,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
513530,Royal Heights,23,6700,34,0.7,3,Western Auckland Zone,Main ,76,Auckland,2,Auckland 
582700,Kirks,22,900,244,4.7,21,Nelson,Main ,52,Nelson City,17,Nelson 
501400,Kawakawa,22,1390,158,3.0,206,Kawakawa,Minor ,1,Far North District,1,Northland 
513511,Westgate,22,1450,152,2.9,3,Western Auckland Zone,Main ,76,Auckland,2,Auckland 
611400,Georgetown,22,2420,91,1.7,24,Invercargill,Main ,75,Invercargill City,15,Southland 
524403,Favona West,22,3010,73,1.4,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
515431,Surrey Crescent,22,3240,68,1.3,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
537500,Gate Pa,22,3270,67,1.3,9,Tauranga,Main ,23,Tauranga City,4,Bay of Plenty 
529800,Clarkin,22,3330,66,1.3,6,Hamilton Zone,Main ,16,Hamilton City,3,Waikato 
591101,Cashmere West,22,3380,65,1.2,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
570100,Wilford,22,3430,64,1.2,18,Lower Hutt Zone,Main ,46,Lower Hutt City,9,Wellington 
502201,Tikipunga West,22,3480,63,1.2,1,Whangarei,Main ,2,Whangarei District,1,Northland 
515302,Ponsonby East,22,3790,58,1.1,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
551301,Waitara West,22,3840,57,1.1,247,Waitara,Minor ,33,New Plymouth District,7,Taranaki 
571400,Waitangirua,22,4300,51,1.0,19,Porirua Zone,Main ,44,Porirua City,9,Wellington 
544200,Mangapapa,22,4610,48,0.9,11,Gisborne,Main ,28,Gisborne District,5,Gisborne 
595600,North Beach,22,4790,46,0.9,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
523920,Takanini West,22,4910,45,0.9,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
604210,Caversham,22,4960,44,0.8,23,Dunedin,Main ,71,Dunedin City,14,Otago 
514802,Avondale West,22,5400,41,0.8,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
524812,Weymouth East,22,5540,40,0.8,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
581250,Redwoodtown,22,5620,39,0.7,26,Blenheim,Main ,53,Marlborough District,18,Marlborough 
555800,Castlecliff South,21,1320,159,3.0,15,Wanganui,Main ,37,Wanganui District,8,Manawatu-Wanganui 
559400,Taihape,21,1640,128,2.4,258,Taihape,Minor ,38,Rangitikei District,8,Manawatu-Wanganui 
542700,Murupara,21,1770,119,2.3,240,Murupara,Minor ,25,Whakatane District,4,Bay of Plenty 
611220,Crinan,21,1860,113,2.2,24,Invercargill,Main ,75,Invercargill City,15,Southland 
581400,Kaikoura Township,21,2040,103,2.0,269,Kaikoura,Minor ,54,Kaikoura District,13,Canterbury 
583000,Tahunanui,21,2230,94,1.8,21,Nelson,Main ,52,Nelson City,17,Nelson 
570700,Elsdon-Takapuwahia,21,2370,89,1.7,19,Porirua Zone,Main ,44,Porirua City,9,Wellington 
568103,Delaney,21,2540,83,1.6,18,Lower Hutt Zone,Main ,46,Lower Hutt City,9,Wellington 
529502,Insoll,21,2850,74,1.4,6,Hamilton Zone,Main ,16,Hamilton City,3,Waikato 
550102,Dannevirke East,21,3050,69,1.3,245,Dannevirke,Minor ,41,Tararua District,8,Manawatu-Wanganui 
528503,Crawshaw,21,3150,67,1.3,6,Hamilton Zone,Main ,16,Hamilton City,3,Waikato 
542422,Whakatane West,21,3290,64,1.2,104,Whakatane,Secondary ,25,Whakatane District,4,Bay of Plenty 
513213,Ranui Domain,21,3420,61,1.2,3,Western Auckland Zone,Main ,76,Auckland,2,Auckland 
531002,Te Awamutu Central,21,3560,59,1.1,8,Te Awamutu Zone,Main ,17,Waipa District,3,Waikato 
523816,Randwick Park,21,3840,55,1.0,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
507101,Browns Bay,21,4510,47,0.9,2,Northern Auckland Zone,Main ,76,Auckland,2,Auckland 
518801,Walmsley,21,4550,46,0.9,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
520402,Hamlin,21,5620,37,0.7,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
573400,Mt Victoria West,21,5970,35,0.7,20,Wellington Zone,Main ,47,Wellington City,9,Wellington 
513631,Waimumu North,21,6340,33,0.6,3,Western Auckland Zone,Main ,76,Auckland,2,Auckland 
523404,Grange,20,700,286,5.5,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
610230,Central Gore,20,800,250,4.8,301,Gore,Minor ,74,Gore District,15,Southland 
569900,Petone Central,20,920,217,4.2,18,Lower Hutt Zone,Main ,46,Lower Hutt City,9,Wellington 
593400,Avonside,20,1890,106,2.0,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
539200,Fairy Springs,20,2130,94,1.8,10,Rotorua,Main ,24,Rotorua District,4,Bay of Plenty 
593600,Linwood North,20,2620,76,1.5,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
585140,Greymouth South,20,2850,70,1.3,111,Greymouth,Secondary ,56,Grey District,12,West Coast 
517902,Owairaka West,20,2860,70,1.3,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
506800,Helensville,20,2880,69,1.3,213,Helensville,Minor ,76,Auckland,2,Auckland 
589100,Jellie Park,20,2940,68,1.3,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
586306,Rangiora North,20,3520,57,1.1,116,Rangiora,Secondary ,59,Waimakariri District,13,Canterbury 
581240,Whitney,20,4470,45,0.9,26,Blenheim,Main ,53,Marlborough District,18,Marlborough 
572600,Tawa Central,20,4600,43,0.8,20,Wellington Zone,Main ,47,Wellington City,9,Wellington 
587500,Hornby South,20,5350,37,0.7,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
525921,Pukekohe West,20,7450,27,0.5,101,Pukekohe,Secondary ,76,Auckland,2,Auckland 
585130,Greymouth Central,19,580,328,6.3,111,Greymouth,Secondary ,56,Grey District,12,West Coast 
515500,Arch Hill,19,1870,102,1.9,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
564232,Levin South,19,1920,99,1.9,107,Levin,Secondary ,42,Horowhenua District,8,Manawatu-Wanganui 
502400,Otangarei,19,2110,90,1.7,1,Whangarei,Main ,2,Whangarei District,1,Northland 
593200,Richmond North,19,2380,80,1.5,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
547800,Frimley,19,2410,79,1.5,13,Hastings Zone,Main ,30,Hastings District,6,Hawke's Bay 
546902,Mclean Park,19,2440,78,1.5,12,Napier Zone,Main ,31,Napier City,6,Hawke's Bay 
570400,Titahi Bay North,19,2580,74,1.4,19,Porirua Zone,Main ,44,Porirua City,9,Wellington 
606210,Mosgiel South,19,2790,68,1.3,23,Dunedin,Main ,71,Dunedin City,14,Otago 
546802,Bluff Hill,19,2820,67,1.3,12,Napier Zone,Main ,31,Napier City,6,Hawke's Bay 
593000,Wainoni,19,2850,67,1.3,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
600500,Waimate,19,2920,65,1.2,288,Waimate,Minor ,66,Waimate District,13,Canterbury 
526500,Raglan,19,3070,62,1.2,216,Raglan,Minor ,13,Waikato District,3,Waikato 
522723,Elsmore Park,19,3210,59,1.1,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
503800,Raumanga West,19,3240,59,1.1,1,Whangarei,Main ,2,Whangarei District,1,Northland 
524713,Rowandale,19,3570,53,1.0,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
524405,Favona South,19,3730,51,1.0,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
502102,Kamo East,19,3840,49,0.9,1,Whangarei,Main ,2,Whangarei District,1,Northland 
519900,Oranga,19,4510,42,0.8,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
592402,St Albans East,19,4930,39,0.7,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
511401,Fruitvale,19,4950,38,0.7,3,Western Auckland Zone,Main ,76,Auckland,2,Auckland 
579700,Carterton,19,5030,38,0.7,264,Carterton,Minor ,49,Carterton District,9,Wellington 
592000,Aorangi,19,5800,33,0.6,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
556900,Wanganui Central,18,1240,145,2.8,15,Wanganui,Main ,37,Wanganui District,8,Manawatu-Wanganui 
570000,Esplanade,18,2510,72,1.4,18,Lower Hutt Zone,Main ,46,Lower Hutt City,9,Wellington 
533501,Moanataiari,18,2520,71,1.4,226,Thames,Minor ,11,Thames-Coromandel District,3,Waikato 
524902,Manurewa East,18,2720,66,1.3,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
587830,Islington,18,3170,57,1.1,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
533603,Hikuai,18,3410,53,1.0,502,Rural (Incl.some Off Shore Islands),Rural,11,Thames-Coromandel District,3,Waikato 
525530,Rosehill,18,3550,51,1.0,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
524711,Burbank,18,3770,48,0.9,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
592701,Shirley West,18,3900,46,0.9,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
573700,Johnsonville Central,18,3920,46,0.9,20,Wellington Zone,Main ,47,Wellington City,9,Wellington 
501806,Marsden Point-Ruakaka,18,4010,45,0.9,502,Rural (Incl.some Off Shore Islands),Rural,2,Whangarei District,1,Northland 
579200,Lansdowne,18,4130,44,0.8,109,Masterton,Secondary ,48,Masterton District,9,Wellington 
534300,Paeroa,18,4280,42,0.8,228,Paeroa,Minor ,12,Hauraki District,3,Waikato 
533502,Parawai,18,4500,40,0.8,226,Thames,Minor ,11,Thames-Coromandel District,3,Waikato 
547900,Raureka,18,4510,40,0.8,13,Hastings Zone,Main ,30,Hastings District,6,Hawke's Bay 
524122,Viscount,18,4510,40,0.8,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
525630,Papakura North East,18,4600,39,0.7,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
518702,Hillsborough East,18,4870,37,0.7,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
508210,Kaipatiki,18,5010,36,0.7,2,Northern Auckland Zone,Main ,76,Auckland,2,Auckland 
523113,Greenmount,18,5130,35,0.7,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
524530,Harania East,18,5630,32,0.6,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
594800,Barrington North,18,5770,31,0.6,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
520201,Ellerslie North,18,6870,26,0.5,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
508420,Target Road,18,7260,25,0.5,2,Northern Auckland Zone,Main ,76,Auckland,2,Auckland 
523713,Ormiston,18,7310,25,0.5,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
518701,Hillsborough West,18,8300,22,0.4,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
503300,Horahora,17,1160,147,2.8,1,Whangarei,Main ,2,Whangarei District,1,Northland 
581602,Takaka,17,1290,132,2.5,270,Takaka,Minor ,51,Tasman District,16,Tasman 
568701,Waiwhetu North,17,1460,116,2.2,18,Lower Hutt Zone,Main ,46,Lower Hutt City,9,Wellington 
516001,Mt Hobson,17,1530,111,2.1,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
556400,Gonville West,17,1590,107,2.0,15,Wanganui,Main ,37,Wanganui District,8,Manawatu-Wanganui 
544900,Riverdale,17,2280,75,1.4,11,Gisborne,Main ,28,Gisborne District,5,Gisborne 
503600,Morningside,17,2350,72,1.4,1,Whangarei,Main ,2,Whangarei District,1,Northland 
565200,Homedale West,17,2550,67,1.3,18,Lower Hutt Zone,Main ,46,Lower Hutt City,9,Wellington 
599700,Parkside,17,2580,66,1.3,113,Timaru,Secondary ,64,Timaru District,13,Canterbury 
529900,Claudelands,17,2660,64,1.2,6,Hamilton Zone,Main ,16,Hamilton City,3,Waikato 
525002,Beaumont,17,2660,64,1.2,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
517002,Glen Innes East,17,3000,57,1.1,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
577000,Lyall Bay-Airport-Moa Point,17,3150,54,1.0,20,Wellington Zone,Main ,47,Wellington City,9,Wellington 
538601,Ngongotaha North,17,3250,52,1.0,10,Rotorua,Main ,24,Rotorua District,4,Bay of Plenty 
515600,Eden Terrace,17,3260,52,1.0,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
526103,Waiuku West,17,3390,50,1.0,215,Waiuku,Minor ,76,Auckland,2,Auckland 
564231,Playford Park,17,3480,49,0.9,107,Levin,Secondary ,42,Horowhenua District,8,Manawatu-Wanganui 
551400,Moturoa,17,3520,48,0.9,14,New Plymouth,Main ,33,New Plymouth District,7,Taranaki 
533300,Whangamata,17,3710,46,0.9,223,Whangamata,Minor ,11,Thames-Coromandel District,3,Waikato 
526104,Waiuku East,17,3790,45,0.9,215,Waiuku,Minor ,76,Auckland,2,Auckland 
541740,Hilltop,17,3810,45,0.9,103,Taupo,Secondary ,21,Taupo District,3,Waikato 
584500,Westport Urban,17,4020,42,0.8,274,Westport,Minor ,55,Buller District,12,West Coast 
519710,Onehunga North West,17,4030,42,0.8,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
524510,Harania North,17,4190,41,0.8,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
534800,Te Aroha,17,4200,40,0.8,230,Te Aroha,Minor ,15,Matamata-Piako District,3,Waikato 
518301,Maungawhau,17,4270,40,0.8,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
528602,Dinsdale South,17,4360,39,0.7,6,Hamilton Zone,Main ,16,Hamilton City,3,Waikato 
508320,Glenfield North,17,4750,36,0.7,2,Northern Auckland Zone,Main ,76,Auckland,2,Auckland 
536630,Kaimai,17,5640,30,0.6,502,Rural (Incl.some Off Shore Islands),Rural,22,Western Bay of Plenty District,4,Bay of Plenty 
521122,Kingseat,17,6670,25,0.5,502,Rural (Incl.some Off Shore Islands),Rural,76,Auckland,2,Auckland 
527503,Cambridge Central,16,870,184,3.5,7,Cambridge Zone,Main ,17,Waipa District,3,Waikato 
552002,Marsland Hill,16,1450,110,2.1,14,New Plymouth,Main ,33,New Plymouth District,7,Taranaki 
587811,Yaldhurst,16,1530,105,2.0,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
603920,Halfway Bush,16,1940,82,1.6,23,Dunedin,Main ,71,Dunedin City,14,Otago 
525620,Massey Park,16,2050,78,1.5,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
570900,Porirua East,16,2130,75,1.4,19,Porirua Zone,Main ,44,Porirua City,9,Wellington 
539310,Pukehangi North,16,2260,71,1.4,10,Rotorua,Main ,24,Rotorua District,4,Bay of Plenty 
